"group","bench","mean_ns"
"e2e_latency","pipeline_sim/10x","760779.4358508958"
"e2e_latency","pipeline_sim/1x","100217.63308358683"
"e2e_latency","pipeline_sim/5x","376136.26196182997"
"leaderboard_reads_10","atomic/1","2264033.5679229386"
"leaderboard_reads_10","atomic/16","9975400.909090912"
"leaderboard_reads_10","atomic/2","3047567.348258344"
"leaderboard_reads_10","atomic/4","4258438.72"
"leaderboard_reads_10","atomic/8","5662620.444444439"
"leaderboard_reads_10","mutex/1","675505.2947617092"
"leaderboard_reads_10","mutex/16","98135716.0"
"leaderboard_reads_10","mutex/2","1465092.6529301917"
"leaderboard_reads_10","mutex/4","4149912.08"
"leaderboard_reads_10","mutex/8","20502321.4"
"leaderboard_reads_10","rwlock/1","697277.009538094"
"leaderboard_reads_10","rwlock/16","92149634.5"
"leaderboard_reads_10","rwlock/2","1345588.3956719523"
"leaderboard_reads_10","rwlock/4","3628598.523542815"
"leaderboard_reads_10","rwlock/8","17600502.999999996"
"leaderboard_reads_50","atomic/1","10054674.181818176"
"leaderboard_reads_50","atomic/16","39356403.99999999"
"leaderboard_reads_50","atomic/2","13681509.625"
"leaderboard_reads_50","atomic/4","17311117.666666664"
"leaderboard_reads_50","atomic/8","24192526.0"
"leaderboard_reads_50","mutex/1","1256011.6016307233"
"leaderboard_reads_50","mutex/16","132574815.0"
"leaderboard_reads_50","mutex/2","2708444.629029481"
"leaderboard_reads_50","mutex/4","7814592.571428571"
"leaderboard_reads_50","mutex/8","39581796.666666664"
"leaderboard_reads_50","rwlock/1","1299644.5077286966"
"leaderboard_reads_50","rwlock/16","42944483.66666667"
"leaderboard_reads_50","rwlock/2","1948803.3493607573"
"leaderboard_reads_50","rwlock/4","3621918.642313517"
"leaderboard_reads_50","rwlock/8","9502806.363636363"
"leaderboard_reads_90","atomic/1","18028600.000000004"
"leaderboard_reads_90","atomic/16","68441529.0"
"leaderboard_reads_90","atomic/2","24151593.8"
"leaderboard_reads_90","atomic/4","30687061.25"
"leaderboard_reads_90","atomic/8","41536622.99999998"
"leaderboard_reads_90","mutex/1","1808168.4501844617"
"leaderboard_reads_90","mutex/16","153219005.0"
"leaderboard_reads_90","mutex/2","4052369.648795681"
"leaderboard_reads_90","mutex/4","10641349.5"
"leaderboard_reads_90","mutex/8","56140078.5"
"leaderboard_reads_90","rwlock/1","1750282.734105608"
"leaderboard_reads_90","rwlock/16","16852228.666666668"
"leaderboard_reads_90","rwlock/2","2379512.062597427"
"leaderboard_reads_90","rwlock/4","3434658.2186070955"
"leaderboard_reads_90","rwlock/8","5708455.736842101"
"parsing","owned_alloc","568.8698454927526"
"parsing","zero_copy","273.3006053675411"
